 42, 0.960,    77, 0.960,   129,   0.967,    60,  0.927,    58,  0.960,    69, 0.0197,   2, 1.0633, 0.7600, 1.0466, 
 43, 0.940,    99, 0.960,    53,   0.953,   101,  0.973,    48,  0.947,   112, 0.0192,   2, 1.0633, 0.7600, 1.0600, 
 44, 0.987,   273, 0.960,    68,   0.967,   168,  0.980,    63,  0.960,    58, 0.0199,   2, 1.0633, 0.9000, 1.0200, 
 45, 0.953,    43, 0.947,    43,   0.960,    66,  0.993,    70,  0.940,    41, 0.0196,   2, 1.0633, 0.9000, 1.0333, 
 46, 0.960,    60, 0.973,    62,   0.960,    83,  0.973,    98,  0.940,    81, 0.0199,   2, 1.0633, 0.9000, 1.0466, 
 47, 0.960,    67, 0.967,    66,   0.953,    60,  0.960,    57,  0.967,    44, 0.0200,   2, 1.0633, 0.9000, 1.0600, 
 48, 0.973,    57, 0.953,    61,   0.947,    41,  0.993,    99,  0.947,    95, 0.0197,   2, 1.0900, 0.5000, 1.0200, 
 49, 0.947,    84, 0.953,    79,   0.967,    57,  0.953,    68,  0.973,    43, 0.0198,   2, 1.0900, 0.5000, 1.0333, 
 50, 0.947,    59, 0.953,    52,   0.947,   246,  0.960,    45,  0.940,   103, 0.0200,   2, 1.0900, 0.5000, 1.0466, 
 51, 0.947,    51, 0.940,    63,   0.953,    55,  0.953,    44,  0.947,    34, 0.0197,   2, 1.0900, 0.5000, 1.0600, 
 52, 0.967,    44, 0.973,    71,   0.947,    82,  0.947,    62,  0.947,    48, 0.0198,   2, 1.0900, 0.6300, 1.0200, 
 53, 0.967,   131, 0.940,    81,   0.960,   198,  0.940,    97,  0.973,    71, 0.0200,   2, 1.0900, 0.6300, 1.0333, 
 54, 0.973,    95, 0.947,   208,   0.933,    43,  0.987,   135,  0.947,    55, 0.0199,   2, 1.0900, 0.6300, 1.0466, 
 55, 0.940,    46, 0.940,    88,   0.980,    78,  0.953,    81,  0.947,   110, 0.0196,   2, 1.0900, 0.6300, 1.0600, 
 56, 0.967,   108, 0.967,    72,   0.947,    48,  0.953,    38,  0.947,    76, 0.0200,   2, 1.0900, 0.7600, 1.0200, 
 57, 0.953,    70, 0.947,    42,   0.940,    62,  0.967,    52,  0.953,    68, 0.0200,   2, 1.0900, 0.7600, 1.0333, 
 58, 0.960,    49, 0.953,    39,   0.960,    91,  0.967,    76,  0.947,   173, 0.0178,   2, 1.0900, 0.7600, 1.0466, 
 59, 0.947,    53, 0.960,    57,   0.980,    61,  0.967,    52,  0.953,  2001, 0.0197,   2, 1.0900, 0.7600, 1.0600, 
 60, 0.960,    77, 0.967,    48,   0.980,  2001,  0.947,    58,  0.967,    56, 0.0193,   2, 1.0900, 0.9000, 1.0200, 
 61, 0.947,   126, 0.940,    69,   0.980,   128,  0.913,    59,  0.947,    53, 0.0200,   2, 1.0900, 0.9000, 1.0333, 
 62, 0.947,    76, 0.913,    81,   0.947,    47,  0.953,    53,  0.953,    50, 0.0200,   2, 1.0900, 0.9000, 1.0466, 
 63, 0.940,  2001, 0.960,    39,   0.160,  2001,  0.960,    69,  0.960,    40, 0.0887,   2, 1.0900, 0.9000, 1.0600, 
 64, 0.980,    47, 0.967,    52,   0.953,    48,  0.973,    64,  0.967,    94, 0.0197,   3, 1.0100, 0.5000, 1.0200, 
